,created_at,text
0,2021-04-26T19:28:01.000Z,RT @christapeterso: New type of Elon Musk guy that appears to think Willy Wonka is real https://t.co/F6s6rFbviu
1,2021-04-26T19:28:01.000Z,"$FB cut for a $1 gain, not swinging anything with $TSLA ER AH lol https://t.co/1xmdjKV21C https://t.co/Ubdj7HIYJ1"
2,2021-04-26T19:28:00.000Z,@Kris0cto My tesla flys.
3,2021-04-26T19:27:58.000Z,"Will Tesla ( $TSLA ) finally mention how the global semiconductor shortage is hurting them? 

Tesla needs semiconductors (and lots of them) for an electric vehicle. They have already pushed back on delivery dates (again) “due to production” and stopped taking orders on models"
4,2021-04-26T19:27:55.000Z,"RT @vincent13031925: Tesla $TSLA Q1 2021 Earnings Preview

https://t.co/CP4UtnjBBt"
5,2021-04-26T19:27:54.000Z,@nytimes Maybe Elon Musk can host?
6,2021-04-26T19:27:54.000Z,RT @michidee_: Tesla content to the moon ☄️✨🔥 https://t.co/lEccWXDYYd
7,2021-04-26T19:27:53.000Z,"RT @dogemusk: $DOGE 4 Amazon
$DOGE 4 Coinbase
$DOGE 4 Dojo
$DOGE 4 Tesla
$DOGE 4 Mars"
8,2021-04-26T19:27:53.000Z,be sure to catch Saturday Night Live this May 8th with host Elon Musk and musical guest Great White
9,2021-04-26T19:27:52.000Z,✨ Participate in the April #Webull wheel event to win awesome prizes! 😍 4000 shares of TSLA stocks are waiting to be claimed. 💙 https://t.co/xXyOB2nfb6
10,2021-04-26T19:27:51.000Z,"RT @petenajarian: $TSLA earnings are in. We're discussing that and more with Tony Dwyer right now!

Join the webinar: https://t.co/3EarHpuK…"
11,2021-04-26T19:27:50.000Z,RT @Reuters: Tesla to add EV components recycling facilities at Shanghai factory https://t.co/QwcrzTQp9E https://t.co/cDzqsyWLms
12,2021-04-26T19:27:48.000Z,"@petteri_bergius I (thankfully) didnt touch Nikola, but I remember it was a hype so I looked what Tesla community said and found the arguments good. When TM said he was the next and better Elon and Tesla would go after them instead of the other way around, he made me laugh so hard."
13,2021-04-26T19:27:42.000Z,RT @APompliano: Will @elonmusk and Tesla announce today that they bought the dip?
14,2021-04-26T19:27:39.000Z,How Elon Musk's guest-hosting SNL should start....and continue for the entire show. Just wheel him around. https://t.co/Rsl6lmLlM4
15,2021-04-26T19:27:38.000Z,"elon musk is a villain. he isn’t cool because he posts memes. he isn’t down to earth because he smoked weed with joe rogan or was in a pewdienazi video. this man is gluttonous, evil and cruel with a goal to bring imperialism outside of just planet earth."
16,2021-04-26T19:27:36.000Z,Today Tesla earnkng will show thr xonpwny bouggt more #Bitcoin  but also purchased  #dogecoin
17,2021-04-26T19:27:35.000Z,"RT @CNBC: Elon Musk: I sleep ""about 6 hours"" a night – ""I tried less, but total productivity decreases."" (via @CNBCMakeIt) https://t.co/FEe…"
18,2021-04-26T19:27:35.000Z,"RT @APompliano: Tesla earnings call is today. If I’m Elon Musk, I start it with the following statement:

“Our company has seen the value o…"
19,2021-04-26T19:27:34.000Z,Listen to the Tesla (TSLA) Q1 2021 earnings results conference call here https://t.co/FzEUwd6aEY
20,2021-04-26T19:27:32.000Z,"@_brendan_lewis get me a way to reach Elon musk, I have a strange concept designs for him @elonmusk @SpaceX"
21,2021-04-26T19:27:31.000Z,"RT @cleantechnica: How to Get a Tesla Model 3 for $25,000 https://t.co/jCCvHQK4Wj"
22,2021-04-26T19:27:30.000Z,liking elon musk is such an ick he’s literally the biggest white male ego disappointment since thomas edison
